Year,seed,sobol,scenario,recycling,trash,wishcycling
5,0,FALSE,North Carolina,0.120731084,0.846404226,0.03286469
5,0,FALSE,North Dakota,0.187934955,0.755486358,0.056578687
5,0,FALSE,Ohio,0.131108941,0.832351345,0.036539714
5,0,FALSE,Oklahoma,0.097078924,0.872944224,0.029976852
5,0,FALSE,Oregon,0.739476755,0.111025848,0.149497397
5,0,FALSE,Pennsylvania,0.183147795,0.769094572,0.047757634
5,0,FALSE,Rhode Island,0.410141612,0.513965142,0.075893246
5,0,FALSE,South Carolina,0.070750349,0.907599581,0.02165007
5,0,FALSE,South Dakota,0.19552005,0.759032999,0.045446951
5,0,FALSE,Tennessee,0.078867957,0.900396825,0.020735217
5,0,FALSE,Texas,0.150577026,0.809889962,0.039533011
5,0,FALSE,Utah,0.187937595,0.756454528,0.055607877
5,0,FALSE,Vermont,0.58900486,0.302518224,0.108476916
5,0,FALSE,Virginia,0.131728085,0.831997953,0.036273962
5,0,FALSE,Washington,0.282904208,0.659126984,0.057968808
5,0,FALSE,West Virginia,0.137074709,0.826796336,0.036128956
5,0,FALSE,Wisconsin,0.258689727,0.684004193,0.05730608
5,0,FALSE,Wyoming,0.133387128,0.816676448,0.049936424
6,0,FALSE,Alabama,0.085409091,0.881550505,0.033040404
6,0,FALSE,Alaska,0.06119213,0.916585648,0.022222222
6,0,FALSE,Arizona,0.191488031,0.757690247,0.050821722
6,0,FALSE,Arkansas,0.090013228,0.881593407,0.028393366
6,0,FALSE,California,0.617693662,0.250024452,0.132281886
6,0,FALSE,Colorado,0.106481481,0.858685637,0.034832882
6,0,FALSE,Connecticut,0.542556383,0.333923029,0.123520588
6,0,FALSE,Delaware,0.133420139,0.831575521,0.03500434
6,0,FALSE,Florida,0.107854126,0.855681449,0.036464425
6,0,FALSE,Georgia,0.114680233,0.847977229,0.037342539
6,0,FALSE,Hawaii,0.509342959,0.380670642,0.109986399
6,0,FALSE,Idaho,0.145495041,0.816746512,0.037758447
6,0,FALSE,Illinois,0.142308959,0.823534256,0.034156785
6,0,FALSE,Indiana,0.185869342,0.765036008,0.04909465
6,0,FALSE,Iowa,0.339037494,0.578543667,0.082418839
6,0,FALSE,Kansas,0.20366941,0.751165981,0.045164609
6,0,FALSE,Kentucky,0.10684561,0.860174782,0.032979609
6,0,FALSE,Louisiana,0.085783027,0.885865048,0.028351925
6,0,FALSE,Maine,0.807885477,0.060370015,0.131744508
6,0,FALSE,Maryland,0.354362285,0.582042254,0.063595462
6,0,FALSE,Massachusetts,0.413198368,0.499424566,0.087377066
6,0,FALSE,Michigan,0.640761741,0.228591065,0.130647194
6,0,FALSE,Minnesota,0.267278192,0.673538557,0.05918325
6,0,FALSE,Mississippi,0.094240669,0.874394037,0.031365294
6,0,FALSE,Missouri,0.118762813,0.843434809,0.037802378
6,0,FALSE,Montana,0.141477518,0.824113705,0.034408776
6,0,FALSE,Nebraska,0.154503546,0.805395981,0.040100473
6,0,FALSE,Nevada,0.180146924,0.774035813,0.045817264
6,0,FALSE,New Hampshire,0.321393177,0.614513055,0.064093768
6,0,FALSE,New Jersey,0.230286912,0.716021921,0.053691167
6,0,FALSE,New Mexico,0.128440367,0.836167176,0.035392457
6,0,FALSE,New York,0.614980365,0.290534766,0.094484869
