CAS #,Formatted CAS #,Substance Name,Global Warming Air (kg CO2 eq / kg substance),Acidification Air (kg SO2 eq / kg substance),HH Particulate Air (PM2.5 eq / kg substance),Eutrophication Air (kg N eq / kg substance),Eutrophication Water (kg N eq / kg substance),Ozone Depletion Air (kg CFC-11 eq / kg substance),Smog Air (kg O3 eq / kg substance),"Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater","Human health CF  [CTUcancer/kg], Emission to urban air, cancer","Human health CF  [CTUnoncancer/kg], Emission to urban air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. rural air, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. rural air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. freshwater, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. sea water, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. sea water, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. natural soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. natural soil, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. agric. Soil, non-canc."
x,x,"1,2,4-C15 TRISUBSTITUTED BENZENES",0,0,0,0,0,0,4.473153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,x,"1,2,4-C16 TRISUBSTITUTED BENZENES",0,0,0,0,0,0,4.125794872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17584122,17584122,"1,2,4-TRIAZIN-3-AMINE, 5,6-DIMETHYL-",0,0,0,0,0,0,0,1.911253388,1.522741206,41.05918722,8.39E-05,5.187402813,5.187402813,0,0,0,0,0,0,0,0,0,0,0,0
120821,120821,"1,2,4-TRICHLOROBENZENE",0,0,0,0,0,0,0,10.83707472,10.74302206,2201.491979,2.535749506,32.41798085,32.41798085,0,3.43E-07,0,1.35E-07,0,2.06E-06,0,3.82E-07,0,9.14E-08,0,1.82E-07
x,x,"1,2,4-TRIMETHYL CYCLOPENTANE",0,0,0,0,0,0,1.533051282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95636,95636,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,0,0,8.872435897,0.045048059,0.033280699,716.2977341,0.006138327,6.336821817,6.336821817,5.89E-09,0,1.59E-10,0,5.48E-09,0,4.69E-10,0,1.61E-10,0,1.18E-09,0
95943,95943,"1,2,4,5-TETRACHLOROBENZENE",0,0,0,0,0,0,0,18.21660848,18.03026749,1278.608911,4.083814935,8.142912382,8.142912382,0,5.57E-05,0,3.76E-05,0,0.0002631,0,4.93E-05,0,9.97E-06,0,1.53E-05
95932,95932,"1,2,4,5-TETRAMETHYLBENZENE",0,0,0,0,0,0,9.257871795,0.030722201,0.016870571,1037.569834,0.003057926,3.413134791,3.413134791,0,0,0,0,0,0,0,0,0,0,0,0
106694,106694,"1,2,6-HEXANETRIOL",0,0,0,0,0,0,0,0.065250674,0.060034728,0.839004825,2.09E-09,0.20877016,0.20877016,0,0,0,0,0,0,0,0,0,0,0,0
108452,108452,"1,3-BENZENEDIAMINE",0,0,0,0,0,0,0,17.95176802,13.83874809,642.200833,7.43E-05,157.2241883,157.2241883,0,7.52E-07,0,2.08E-07,0,3.63E-06,0,4.65E-09,0,8.90E-07,0,1.16E-06
5131602,5131602,"1,3-BENZENEDIAMINE, 4-CHLORO-",0,0,0,0,0,0,0,0,0,0,0,0,0,6.09E-08,0,1.20E-08,0,2.97E-07,0,8.26E-11,0,5.68E-08,0,8.51E-08,0
15245440,15245440,"1,3-BENZENEDIOL, 2,4,6-TRINITRO-, LEAD(2+) SALT (1:1)",0,0,0,0,0,0,0,1.114861974,0.767821389,23.20379606,4.02E-10,0.153457967,0.153457967,0,0,0,0,0,0,0,0,0,0,0,0
137199,137199,"1,3-BENZENEDIOL, 4,6-DICHLORO-",0,0,0,0,0,0,0,41.63915564,18.54023621,1951.876326,0.003953023,56.19107936,56.19107936,0,0,0,0,0,0,0,0,0,0,0,0
533313,533313,"1,3-BENZODIOXOL-5-OL",0,0,0,0,0,0,0,0,0,0,0,0,0,1.27E-08,0,1.11E-09,0,3.39E-08,0,2.39E-11,0,3.71E-09,0,7.59E-09,0
106990,106990,"1,3-BUTADIENE",0,0,0,0,0,0,12.61210256,0,0,0,0,0,0,1.13E-06,1.68E-06,1.66E-08,2.49E-08,4.62E-07,6.92E-07,5.48E-09,8.21E-09,1.84E-08,2.75E-08,3.18E-08,4.75E-08
460128,460128,"1,3-BUTADIYNE",0,0,0,0,0,0,5.758717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107880,107880,"1,3-BUTANEDIOL",0,0,0,0,0,0,3.356307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93914,93914,"1,3-BUTANEDIONE, 1-PHENYL-",0,0,0,0,0,0,0,647.580961,626.7534887,13993.00787,3.928798138,2130.039335,2130.039335,0,0,0,0,0,0,0,0,0,0,0,0
x,x,"1,3-DI-N-PROPYL BENZENE",0,0,0,0,0,0,4.229358974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460253,460253,"1,3-DIBROMO-1,1-DIFLUOROPROPANE ",0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,x,"1,3-DIBROMO-1,1,3,3-TETRAFLUOROPROPANE ",0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109648,109648,"1,3-DIBROMOPROPANE",0,0,0,0,0,0,0,14.76736781,14.71040127,2684.08367,1.099772666,105.3479975,105.3479975,0,0,0,0,0,0,0,0,0,0,0,0
56654525,56654525,"1,3-DIBUTYL-3-NITROSO UREA",0,0,0,0,0,0,0,0,0,0,0,0,0,8.07E-06,0,2.27E-06,0,6.72E-06,0,9.39E-09,0,7.71E-08,0,4.17E-07,0
96231,96231,"1,3-DICHLORO-2-PROPANOL",0,0,0,0,0,0,0,6.272778002,6.078974306,57.98040197,0.030641446,17.7394131,17.7394131,0,0,0,0,0,0,0,0,0,0,0,0
541731,541731,"1,3-DICHLOROBENZENE",0,0,0,0,0,0,0,1.241678693,1.230654591,498.559652,0.219305619,8.953325552,8.953325552,0,0,0,0,0,0,0,0,0,0,0,0
142289,142289,"1,3-DICHLOROPROPANE",0,0,0,0,0,0,0,0.263903094,0.263419652,43.13324267,0.048051064,2.554803448,2.554803448,0,0,0,0,0,0,0,0,0,0,0,0
542756,542756,"1,3-DICHLOROPROPENE",0,0,0,0,0,0,0,0.370014749,0.363207632,1983.168528,0.067849204,71.97438041,71.97438041,1.00E-06,0.00025495,5.36E-08,1.36E-05,4.84E-07,1.28E-05,1.64E-08,2.51E-06,6.00E-08,1.12E-05,1.24E-07,1.13E-05
x,x,"1,3-DICHLOROPROPENE MIXTURE",0,0,0,0,0,0,4.285307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10061015,10061015,"1,3-DICHLOROPROPENE, (Z)",0,0,0,0,0,0,3.699589744,0.21070429,0.207953333,711.731232,0.038887397,25.89213939,25.89213939,0,0,0,0,0,0,0,0,0,0,0,0
626175,626175,"1,3-DICYANOBENZENE",0,0,0,0,0,0,0,72.08533078,64.72446336,632.1083951,0.000824144,58.21546239,58.21546239,0,0,0,0,0,0,0,0,0,0,0,0
