product,process,conjoined_flownames,location
Wood chips; hardwood; green; at veneer mill,"Wood chips; hardwood; green; at veneer mill@Veneer, hardwood, green, at veneer mill, E","Wood chips; hardwood; green; at veneer mill@Veneer, hardwood, green, at veneer mill, E@United States",United States
"Wood fuel, MDF, generated on-site, combusted in industrial boiler","Wood fuel, MDF, generated on-site, combusted in industrial boiler@Northern America","Wood fuel, MDF, generated on-site, combusted in industrial boiler@Wood fuel, MDF, generated on-site, combusted in industrial boiler@Northern America",Northern America
"Wood fuel, MDF, purchased, combusted in industrial boiler","Wood fuel, MDF, purchased, combusted in industrial boiler@Northern America","Wood fuel, MDF, purchased, combusted in industrial boiler@Wood fuel, MDF, purchased, combusted in industrial boiler@Northern America",Northern America
"Wood fuel, at MDF mill","Wood fuel, at MDF mill@Medium density fiberboard (MDF), at MDF mill","Wood fuel, at MDF mill@Medium density fiberboard (MDF), at MDF mill@Northern America",Northern America
"Wood fuel, hardwood, gen at lumber mill, combusted in industrial boiler, NE-NC","Wood fuel, hardwood, gen at lumber mill, combusted in industrial boiler, NE-NC@United States","Wood fuel; hardwood; gen at lumber mill; combusted in industrial boiler@Wood fuel, hardwood, gen at lumber mill, combusted in industrial boiler, NE-NC@United States",United States
"Wood fuel, hardwood, generated at lumber mill, combusted in industrial boiler, SE","Wood fuel, hardwood, generated at lumber mill, combusted in industrial boiler, SE@United States","Wood fuel; hardwood; gen at lumber mill; combusted in industrial boiler@Wood fuel, hardwood, generated at lumber mill, combusted in industrial boiler, SE@United States",United States
"Wood fuel, hardwood, generated at mill, combusted in industrial boiler, E","Wood fuel, hardwood, generated at mill, combusted in industrial boiler, E@United States","Wood fuel; hardwood; generated at mill; combusted in industrial boiler@Wood fuel, hardwood, generated at mill, combusted in industrial boiler, E@United States",United States
"Wood fuel, hardwood, purchased, combusted in industrial boiler, E","Wood fuel, hardwood, purchased, combusted in industrial boiler, E@United States","Wood fuel; hardwood; purchased; combusted in industrial boiler@Wood fuel, hardwood, purchased, combusted in industrial boiler, E@United States",United States
"Wood fuel, hardwood, purchased, combusted in industrial boiler, NE-NC","Wood fuel, hardwood, purchased, combusted in industrial boiler, NE-NC@United States","Wood fuel; hardwood; purchased; combusted in industrial boiler@Wood fuel, hardwood, purchased, combusted in industrial boiler, NE-NC@United States",United States
"Wood fuel, hardwood, purchased, combusted in industrial boiler, SE","Wood fuel, hardwood, purchased, combusted in industrial boiler, SE@United States","Wood fuel; hardwood; purchased; combusted in industrial boiler@Wood fuel, hardwood, purchased, combusted in industrial boiler, SE@United States",United States
"Wood fuel, hardwood,gen at flooring prod plant, combusted in industrial boiler, E","Wood fuel, hardwood,gen at flooring prod plant, combusted in industrial boiler, E@Northern America","Wood fuel, hardwood,gen at flooring prod plant, combusted in industrial boiler, E@Wood fuel, hardwood,gen at flooring prod plant, combusted in industrial boiler, E@Northern America",Northern America
"Wood fuel, hogfuel, particleboard mill","Wood fuel, hogfuel, particleboard mill@Particleboard, average, softwood, particleboard mill","Wood fuel, hogfuel, particleboard mill@Particleboard, average, softwood, particleboard mill@Northern America",Northern America
"Wood fuel, sanderdust, at MDF mill","Wood fuel, sanderdust, at MDF mill@Medium density fiberboard (MDF), at MDF mill","Wood fuel, sanderdust, at MDF mill@Medium density fiberboard (MDF), at MDF mill@Northern America",Northern America
"Wood fuel, sanderdust, particleboard mill","Wood fuel, sanderdust, particleboard mill@Particleboard, average, softwood, particleboard mill","Wood fuel, sanderdust, particleboard mill@Particleboard, average, softwood, particleboard mill@Northern America",Northern America
"Wood fuel, softwood, gen at lumber mill, combusted in industrial boiler, NE-NC","Wood fuel, softwood, gen at lumber mill, combusted in industrial boiler, NE-NC@United States","Wood fuel; softwood; gen at lumber mill; combusted in industrial boiler@Wood fuel, softwood, gen at lumber mill, combusted in industrial boiler, NE-NC@United States",United States
"Wood fuel, softwood, purchased, combusted in industrial boiler, NE-NC","Wood fuel, softwood, purchased, combusted in industrial boiler, NE-NC@United States","Wood fuel; softwood; purchased; combusted in industrial boiler@Wood fuel, softwood, purchased, combusted in industrial boiler, NE-NC@United States",United States
"Wood fuel, unspecified","Wood fuel, unspecified@Northern America","Wood fuel, unspecified@Wood fuel, unspecified@Northern America",Northern America
Wood fuel; hardwood; dry; at engineered wood flooring plant,"Wood fuel; hardwood; dry; at engineered wood flooring plant@Engineered flooring, hardwood, unfinished, E","Wood fuel; hardwood; dry; at engineered wood flooring plant@Engineered flooring, hardwood, unfinished, E@United States",United States
Wood fuel; hardwood; dry; at veneer mill,"Wood fuel; hardwood; dry; at veneer mill@Veneer, hardwood, dry, at veneer mill, E","Wood fuel; hardwood; dry; at veneer mill@Veneer, hardwood, dry, at veneer mill, E@United States",United States
Wood fuel; hardwood; from flooring production,"Wood fuel; hardwood; from flooring production@Solid strip and plank flooring, hardwood, E","Wood fuel; hardwood; from flooring production@Solid strip and plank flooring, hardwood, E@United States",United States
Wood fuel; hardwood; green; at sawmill,"Wood fuel; hardwood; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC","Wood fuel; hardwood; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC@United States",United States
Wood fuel; hardwood; green; at veneer mill,"Wood fuel; hardwood; green; at veneer mill@Bucked and debarked log, hardwood, green, at veneer mill, E","Wood fuel; hardwood; green; at veneer mill@Bucked and debarked log, hardwood, green, at veneer mill, E@United States",United States
Wood fuel; hardwood; kiln-dried; at planer mill,"Wood fuel; hardwood; kiln-dried; at planer mill@Sawn lumber, hardwood, planed, kiln dried, at planer mill, SE","Wood fuel; hardwood; kiln-dried; at planer mill@Sawn lumber, hardwood, planed, kiln dried, at planer mill, SE@United States",United States
Wood fuel; softwood; kiln dried,"Wood fuel; softwood; kiln dried@Sawn lumber, softwood, planed, kiln dried, at planer, NE-NC","Wood fuel; softwood; kiln dried@Sawn lumber, softwood, planed, kiln dried, at planer, NE-NC@United States",United States
"Wood waste, at MDF mill","Wood waste, at MDF mill@Medium density fiberboard (MDF), at MDF mill","Wood waste, at MDF mill@Medium density fiberboard (MDF), at MDF mill@Northern America",Northern America
