product,process,conjoined_flownames,location
"Lignite coal, combusted in industrial boiler","Lignite coal, combusted in industrial boiler@Northern America","Lignite coal, combusted in industrial boiler@Lignite coal, combusted in industrial boiler@Northern America",Northern America
"Lime, agricultural, corn production","Lime, agricultural, corn production@Northern America","Lime, agricultural, corn production@Lime, agricultural, corn production@Northern America",Northern America
"Limestone, at mine","Limestone, at mine@Northern America","Limestone, at mine@Limestone, at mine@Northern America",Northern America
"Liquefied petroleum gas, at refinery","Liquefied petroleum gas, at refinery@Petroleum refining, at refinery","Liquefied petroleum gas, at refinery@Petroleum refining, at refinery@Northern America",Northern America
"Liquefied petroleum gas, combusted in industrial boiler","Liquefied petroleum gas, combusted in industrial boiler@Northern America","Liquefied petroleum gas, combusted in industrial boiler@Liquefied petroleum gas, combusted in industrial boiler@Northern America",Northern America
Low radioactive wastes,"Low radioactive wastes@Aluminum, cold rolling, at plant","Low radioactive wastes@Aluminum, cold rolling, at plant@Northern America",Northern America
"Lumber, softwood, ACQ treated, SE","Lumber, softwood, ACQ treated, SE@United States","Lumber; softwood; ACQ treated@Lumber, softwood, ACQ treated, SE@United States",United States
"Lumber, softwood, borate treated, PNW","Lumber, softwood, borate treated, PNW@United States","Lumber; softwood; borate treated@Lumber, softwood, borate treated, PNW@United States",United States
"Marine piling, softwood, CCA treated, SE","Marine piling, softwood, CCA treated, SE@United States","Marine piling; softwood; CCA treated@Marine piling, softwood, CCA treated, SE@United States",United States
"Medium density fiberboard (MDF), at MDF mill","Medium density fiberboard (MDF), at MDF mill@Medium density fiberboard (MDF), at MDF mill","Medium density fiberboard (MDF), at MDF mill@Medium density fiberboard (MDF), at MDF mill@Northern America",Northern America
Medium radioactive wastes,"Medium radioactive wastes@Aluminum, cold rolling, at plant","Medium radioactive wastes@Aluminum, cold rolling, at plant@Northern America",Northern America
"Melamine urea formaldehyde, MF, hardener, at plant","Melamine urea formaldehyde, MF, hardener, at plant@Northern America","Melamine urea formaldehyde, MF, hardener, at plant@Melamine urea formaldehyde, MF, hardener, at plant@Northern America",Northern America
"Melamine urea formaldehyde, MF, resin, at plant","Melamine urea formaldehyde, MF, resin, at plant@Northern America","Melamine urea formaldehyde, MF, resin, at plant@Melamine urea formaldehyde, MF, resin, at plant@Northern America",Northern America
