scenario,behavior,characteristics,mean,standard_deviation,min,max,value_absence,value_presence,independent_charac,booleans,strings
Colorado,trash,ns,0.0,1e-06,0.0,1.0,0,1,True,,
Colorado,trash,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
Colorado,trash,pr,0.890410959,1e-06,0.0,1.0,0,1,True,,
Colorado,trash,sn,0.890410959,1e-06,0.0,1.0,recycling,trash,False,,
Colorado,wishcycling,att,0.0,0.1,0.0,1.0,0,1,True,,
Colorado,wishcycling,availability,,,,,,,,True,
Colorado,wishcycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Colorado,wishcycling,ds,0.172451785,1e-06,0.0,1.0,0,1,True,,
Colorado,wishcycling,err,-2.0,0.0500409052078838,-2.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Colorado,wishcycling,households,608.4354473,60.40911665,508.3250283,708.6237259,,,True,,
Colorado,wishcycling,ht,0.717533251,0.11262082,0.0,1.0,0,1,True,,
Colorado,wishcycling,kn,0.312327407,0.065154918,0.0,1.0,0,1,True,,
Colorado,wishcycling,name,,,,,,,,,wishcycling
Colorado,wishcycling,ns,0.636963561,1e-06,0.0,1.0,0,1,True,,
Colorado,wishcycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Colorado,wishcycling,pr,0.0182648403333333,1e-06,0.0,1.0,0,1,True,,
Colorado,wishcycling,sn,0.0182648403333333,1e-06,0.0,1.0,trash,wishcycling,False,,
Connecticut,recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
Connecticut,recycling,availability,,,,,,,,True,
Connecticut,recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Connecticut,recycling,ds,0.244852039,1e-06,0.0,1.0,0,1,True,,
Connecticut,recycling,err,0.5,0.0669537823002131,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Connecticut,recycling,households,530.2692456,60.86769826,429.3961315,631.1969052,,,True,,
Connecticut,recycling,ht,0.657880175,0.111107776,0.0,1.0,0,1,True,,
Connecticut,recycling,kn,0.25455894,0.062880771,0.0,1.0,0,1,True,,
Connecticut,recycling,name,,,,,,,,,recycling
Connecticut,recycling,ns,0.71289597,1e-06,0.0,1.0,0,1,True,,
Connecticut,recycling,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
Connecticut,recycling,pr,0.53652968,1e-06,0.0,1.0,0,1,True,,
Connecticut,recycling,sn,0.53652968,1e-06,0.0,1.0,trash,recycling,False,,
Connecticut,trash,att,0.0,1e-06,0.0,1.0,0,1,True,,
Connecticut,trash,availability,,,,,,,,True,
Connecticut,trash,bin,1.0,1e-06,0.0,1.0,0,1,True,,
Connecticut,trash,ds,0.0,1e-06,0.0,1.0,0,1,True,,
