,location,year,bale,material,value
378,North Carolina_Harnett,2020,cardboard_bale,aluminum,0.0
379,North Carolina_Harnett,2020,cardboard_bale,cardboard,4180.666704676874
380,North Carolina_Harnett,2020,cardboard_bale,iron,0.0
381,North Carolina_Harnett,2020,cardboard_bale,glass,0.0
382,North Carolina_Harnett,2020,cardboard_bale,hdpe,0.0
383,North Carolina_Harnett,2020,cardboard_bale,paper,16.05009709410249
384,North Carolina_Harnett,2020,cardboard_bale,pet,0.0
385,North Carolina_Harnett,2020,cardboard_bale,film,0.0
386,North Carolina_Harnett,2020,cardboard_bale,other,0.0
387,North Carolina_Harnett,2020,glass_bale,aluminum,0.0
388,North Carolina_Harnett,2020,glass_bale,cardboard,0.0
389,North Carolina_Harnett,2020,glass_bale,iron,0.0
390,North Carolina_Harnett,2020,glass_bale,glass,735.6456605054999
391,North Carolina_Harnett,2020,glass_bale,hdpe,0.0
392,North Carolina_Harnett,2020,glass_bale,paper,0.0
393,North Carolina_Harnett,2020,glass_bale,pet,0.0
394,North Carolina_Harnett,2020,glass_bale,film,0.0
395,North Carolina_Harnett,2020,glass_bale,other,0.0
396,North Carolina_Harnett,2020,pet_bale,aluminum,2.275192764449997
397,North Carolina_Harnett,2020,pet_bale,cardboard,68.28422284305566
398,North Carolina_Harnett,2020,pet_bale,iron,0.0
399,North Carolina_Harnett,2020,pet_bale,glass,1.820154211560002
400,North Carolina_Harnett,2020,pet_bale,hdpe,37.91987940749999
401,North Carolina_Harnett,2020,pet_bale,paper,2.3593642728330693
402,North Carolina_Harnett,2020,pet_bale,pet,690.1418052165
403,North Carolina_Harnett,2020,pet_bale,film,0.11234843980242692
404,North Carolina_Harnett,2020,pet_bale,other,1.1375963822250021
405,North Carolina_Harnett,2020,hdpe_bale,aluminum,2.206936981516506
406,North Carolina_Harnett,2020,hdpe_bale,cardboard,64.87001170090298
407,North Carolina_Harnett,2020,hdpe_bale,iron,0.0
408,North Carolina_Harnett,2020,hdpe_bale,glass,1.6745418746351994
409,North Carolina_Harnett,2020,hdpe_bale,hdpe,238.89524026725002
